ID,Ape,Background,Eyes,Glasses,Jewelry,Headwear,Mouth,Outfit,Ape%,Background%,Eyes%,Glasses%,Jewelry%,Headwear%,Mouth%,Outfit%,Statistical Rarity,Inverse SR Rank,SR Percentile,Trait Count,Inverse TC Rarity,Sub-Rarity,Agg. RANK,Rarest Trait %,Rarest Trait Score,Rarity,Final Rank,Glitched?
1744,Jeff,Sunny Beach,Grey And Yellow,None,None,Captain's Hat,Cigar,ArtsyApes Brains Longsleeve,"11,25%","3,18%","12,13%","64,95%","62,75%","4,18%","4,00%","1,43%","0,00000000422",2976,"78,79",6,"65,63","72,21",805,"1,43","61,33","68,58673125",802,N
1991,Robin,Brick Wall,Blue And Orange,None,Golden Nose Ring,None,Respirator,Orange Hoodie,"11,04%","6,09%","22,00%","64,95%","5,56%","52,08%","2,28%","1,19%","0,00000000755",2725,"72,15",6,"65,63","68,89",1050,"1,19","67,96","68,58116931",803,N
1013,Bruno,Red & Green Aura,Orange And Blue,Deal With It,Jägermeister Chain,None,Nothing,Guy Fieri Flame Shirt,"10,83%","6,80%","21,66%","5,03%","2,99%","52,08%","65,90%","1,09%","0,00000000895",2620,"69,37",6,"65,63","67,50",1157,"1,09","70,72","68,5751746",804,N
3409,Whitney,Sprayed Wall,Brown And Orange,None,None,Orange Beanie,Nothing,SciFi Space Suit,"10,46%","5,30%","10,38%","64,95%","62,75%","3,87%","65,90%","0,42%","0,0000000253",1986,"52,58",5,"63,89","58,23",1867,"0,42","89,23","68,56589879",805,N
2393,Gordo,Matrix,Orange And Blue,Flower Power,Golden Eyebrow Piercing,Visor Cap,Nothing,Luna Tee,"10,19%","4,21%","21,66%","3,52%","2,62%","3,57%","65,90%","3,65%","0,000000000738",3388,"89,70",7,"87,45","88,58",352,"2,62","28,47","68,53892606",806,N
1429,Albert,Sunny Beach,Purple And Green,Green Cybernetic Visor,None,None,Ganja,White Shirt & Blue Tie,"10,83%","3,18%","7,60%","1,62%","62,75%","52,08%","5,75%","2,28%","0,0000000018",3166,"83,82",6,"65,63","74,73",664,"1,62","56,09","68,5142804",807,N
1765,Ham,Half-Sprayed Wall,Grey And Yellow,None,Jägermeister Chain,Captain's Hat,Nothing,Clown Suit,"9,74%","6,99%","12,13%","64,95%","2,99%","4,18%","65,90%","1,32%","0,00000000586",2849,"75,43",6,"65,63","70,53",930,"1,32","64,37","68,47864559",808,N
681,Lou,Red & Green Aura,Green And Orange,None,Cross Necklace,None,Party Whistle,Rich Old White Male Tee,"12,05%","6,80%","13,66%","64,95%","3,18%","52,08%","5,35%","1,19%","0,00000000767",2713,"71,83",6,"65,63","68,73",1063,"1,19","67,96","68,47526515",809,N
2604,Robin,Brick Wall,Grey And Yellow,None,Jägermeister Chain,None,Nothing,Royal Outfit,"11,04%","6,09%","12,13%","64,95%","2,99%","52,08%","65,90%","0,45%","0,0000000245",2006,"53,11",5,"63,89","58,50",1848,"0,45","88,40","68,46620572",810,N
1497,Juanita,Space Silver,Yellow And Blue,Deal With It,Double Ear Piercing,Devil Horns,Nothing,Thorchain Hoodie & Jacket,"11,25%","6,43%","10,22%","5,03%","3,36%","3,10%","65,90%","2,65%","0,000000000676",3410,"90,28",7,"87,45","88,87",332,"2,65","27,64","68,45688368",811,N
2292,Robin,Abstract White_Blue,Grey And Yellow,Orange Shades,Silver Necklace,Reverse Hat,Nothing,Ape College Jacket,"11,04%","5,19%","12,13%","6,35%","4,82%","3,76%","65,90%","2,49%","0,00000000131",3243,"85,86",7,"87,45","86,66",467,"2,49","32,06","68,4561175",812,N
2725,Ham,Space Silver,Purple And Green,None,Silver Necklace,None,Ganja,Clown Suit,"9,74%","6,43%","7,60%","64,95%","4,82%","52,08%","5,75%","1,32%","0,0000000059",2846,"75,35",6,"65,63","70,49",933,"1,32","64,37","68,45216955",813,N
3111,Bruno,Abstract White_Blue,Orange And Blue,Orange Shades,None,ArtsyApes Cap,Nothing,Keikogi,"10,83%","5,19%","21,66%","6,35%","62,75%","4,05%","65,90%","0,93%","0,000000012",2438,"64,55",6,"65,63","65,09",1339,"0,93","75,14","68,44202822",814,N
562,Robin,Deep Blue,Orange And Blue,None,None,Reverse Hat,Ganja,Ripped Yellow Longsleeve,"11,04%","7,73%","21,66%","64,95%","62,75%","3,76%","5,75%","0,85%","0,0000000138",2347,"62,14",6,"65,63","63,89",1433,"0,85","77,35","68,37545504",815,N
3241,Bruno,Space Gold,Yellow And Blue,Flower Power,None,None,Nothing,Astronaut,"10,83%","2,07%","10,22%","3,52%","62,75%","52,08%","65,90%","0,79%","0,0000000138",2348,"62,17",5,"63,89","63,03",1500,"0,79","79,01","68,35420752",816,N
1460,Bruno,Rainbow,Brown And Orange,Pilot Sunglasses,None,Gold Crown,Nothing,"3,3 Tee","10,83%","9,56%","10,38%","5,43%","62,75%","1,11%","65,90%","3,39%","0,00000000909",2614,"69,21",6,"65,63","67,42",1163,"1,11","70,17","68,33808919",817,N
2304,Albert,Gold Flakes,Orange And Blue,None,Rose Necklace,None,Party Whistle,Banana Bonanza Hoodie,"10,83%","6,33%","21,66%","64,95%","1,11%","52,08%","5,35%","3,04%","0,00000000909",2613,"69,18",6,"65,63","67,41",1164,"1,11","70,17","68,32926384",818,N
3027,Albert,Mountains,Green And Orange,Pilot Sunglasses,None,Jägermeister Antlers,Nothing,Suit & Bow Tie,"10,83%","5,61%","13,66%","5,43%","62,75%","2,07%","65,90%","1,38%","0,0000000053",2892,"76,57",6,"65,63","71,10",888,"1,38","62,71","68,30573549",819,N
263,Lou,Ones & Zeros,Brown And Orange,None,None,Visor Cap,Cigar,Suit & Bow Tie,"12,05%","5,30%","10,38%","64,95%","62,75%","3,57%","4,00%","1,38%","0,00000000531",2891,"76,54",6,"65,63","71,09",889,"1,38","62,71","68,29691014",820,N
2823,Ham,Mountains,Blue And Orange,Flower Power,Golden Eyebrow Piercing,Reverse Hat,Nothing,_APES_ Sweater,"9,74%","5,61%","22,00%","3,52%","2,62%","3,76%","65,90%","3,02%","0,00000000083",3359,"88,93",7,"87,45","88,19",374,"2,62","28,47","68,28299102",821,N
1114,Whitney,Sprayed Wall,Orange And Blue,Pilot Sunglasses,None,Gold Crown,Nothing,ApeCoin Tee,"10,46%","5,30%","21,66%","5,43%","62,75%","1,11%","65,90%","3,10%","0,00000000927",2603,"68,92",6,"65,63","67,28",1173,"1,11","70,17","68,24101038",822,N
924,Gordo,Sprayed Wall,Yellow And Blue,None,#WAGMI Chain,None,Nothing,_APES_ Sweater,"10,19%","5,30%","10,22%","64,95%","0,56%","52,08%","65,90%","3,02%","0,0000000206",2093,"55,41",5,"63,89","59,65",1765,"0,56","85,36","68,22127752",823,N
2530,Whitney,Bright Sky,Green And Orange,None,Golden Nose Ring,Propeller Hat,Lollipop,Blue Camo Shirt,"10,46%","7,18%","13,66%","64,95%","5,56%","4,02%","5,03%","2,44%","0,00000000183",3164,"83,77",7,"87,45","85,61",522,"2,44","33,44","68,21924847",824,N
3073,Ham,Sprayed Wall,Brown And Orange,None,Golden Eyebrow Piercing,None,Ganja,Black Turtleneck,"9,74%","5,30%","10,38%","64,95%","2,62%","52,08%","5,75%","1,48%","0,00000000404",2985,"79,03",6,"65,63","72,33",795,"1,48","59,95","68,20582604",825,N
332,Robin,Space Silver,Green And Orange,None,Golden Eyebrow Piercing,Beer Helmet,Ganja,Colorbomb Tee,"11,04%","6,43%","13,66%","64,95%","2,62%","2,89%","5,75%","3,18%","0,00000000087",3349,"88,67",7,"87,45","88,06",384,"2,62","28,47","68,19473755",826,N
823,Gordo,Ones & Zeros,Blue And Orange,None,None,Captain's Hat,Party Whistle,Rainbow Pin Suit & Tie,"10,19%","5,30%","22,00%","64,95%","62,75%","4,18%","5,35%","1,01%","0,0000000109",2493,"66,00",6,"65,63","65,82",1283,"1,01","72,93","68,19088894",827,N
978,Jeff,Brick Wall,Brown And Orange,Deal With It,None,None,Ganja,Rich Old White Male Tee,"11,25%","6,09%","10,38%","5,03%","62,75%","52,08%","5,75%","1,19%","0,000000008",2680,"70,96",6,"65,63","68,29",1095,"1,19","67,96","68,18402872",828,N
3064,Jeff,Abstract Red_Blue,Green And Orange,Deal With It,None,Clown Wig,Nothing,Suit & Bow Tie,"11,25%","4,87%","13,66%","5,03%","62,75%","2,57%","65,90%","1,38%","0,00000000551",2877,"76,17",6,"65,63","70,90",903,"1,38","62,71","68,17335529",829,N
2610,Robin,Gold Flakes,Purple And Green,Pilot Sunglasses,Cross Necklace,None,Ganja,ArtsyApes Tee,"11,04%","6,33%","7,60%","5,43%","3,18%","52,08%","5,75%","2,67%","0,000000000732",3393,"89,83",7,"87,45","88,64",347,"2,67","27,08","68,12271946",830,N
191,Albert,Red & Green Aura,Grey And Yellow,Deal With It,Silver Necklace,None,Nothing,Go ***** Yourself Tee,"10,83%","6,80%","12,13%","5,03%","4,82%","52,08%","65,90%","1,16%","0,00000000866",2639,"69,87",6,"65,63","67,75",1137,"1,16","68,79","68,09838952",831,N
322,Gordo,Space Silver,Grey And Yellow,3D,Golden Earring,Captain's Hat,Nothing,Thorchain Hoodie & Jacket,"10,19%","6,43%","12,13%","3,71%","3,79%","4,18%","65,90%","2,65%","0,000000000815",3367,"89,14",7,"87,45","88,30",367,"2,65","27,64","68,07739379",832,N
2372,Bruno,Sprayed Wall,Blue And Orange,3D,None,Orange Beanie,Nothing,Derby Stars Turtleneck,"10,83%","5,30%","22,00%","3,71%","62,75%","3,87%","65,90%","1,16%","0,00000000871",2636,"69,79",6,"65,63","67,71",1141,"1,16","68,79","68,07191348",833,N
3698,Jeff,Space Silver,Yellow And Blue,None,None,Chef's Hat,Respirator,Black Turtleneck,"11,25%","6,43%","10,22%","64,95%","62,75%","4,26%","2,28%","1,48%","0,00000000434",2969,"78,61",6,"65,63","72,12",811,"1,48","59,95","68,06462049",834,N
3117,Whitney,Rainbow,Grey And Yellow,Deal With It,None,Gold Crown,Nothing,"3,3 Tee","10,46%","9,56%","12,13%","5,03%","62,75%","1,11%","65,90%","3,39%","0,0000000095",2580,"68,31",6,"65,63","66,97",1196,"1,11","70,17","68,03802741",835,N
3350,Turned,Red & Green Aura,Loose,Flower Power,None,None,Nothing,None,"2,20%","6,80%","2,09%","3,52%","62,75%","52,08%","65,90%","2,52%","0,00000000597",2839,"75,17",4,"85,84","80,50",581,"2,09","43,10","68,03499809",836,N
2618,Lou,Matrix,Blue And Orange,3D,Golden Nose Ring,Captain's Hat,Nothing,Ape College Jacket,"12,05%","4,21%","22,00%","3,71%","5,56%","4,18%","65,90%","2,49%","0,00000000158",3195,"84,59",7,"87,45","86,02",502,"2,49","32,06","68,03250087",837,N
2439,Juanita,Sprayed Wall,Brown And Orange,Flower Power,Golden Nose Ring,None,Nothing,Suit & Bow Tie,"11,25%","5,30%","10,38%","3,52%","5,56%","52,08%","65,90%","1,38%","0,00000000572",2861,"75,75",6,"65,63","70,69",918,"1,38","62,71","68,03214975",838,N
42,Jeff,Sprayed Wall,Blue And Orange,None,Golden Earring,Gold Halo,Nothing,Clown Suit,"11,25%","5,30%","22,00%","64,95%","3,79%","2,33%","65,90%","1,32%","0,00000000655",2798,"74,08",6,"65,63","69,86",981,"1,32","64,37","68,02855293",839,N
3428,Whitney,Matrix,Orange And Blue,None,None,Orange Beanie,Pizza,Go ***** Yourself Tee,"10,46%","4,21%","21,66%","64,95%","62,75%","3,87%","5,00%","1,16%","0,00000000876",2630,"69,63",6,"65,63","67,63",1147,"1,16","68,79","68,0189614",840,N
2845,Juanita,Red & Green Aura,Blue And Orange,Pilot Sunglasses,None,Gold Crown,Nothing,White Shirt & Blue Tie,"11,25%","6,80%","22,00%","5,43%","62,75%","1,11%","65,90%","2,28%","0,00000000957",2577,"68,23",6,"65,63","66,93",1199,"1,11","70,17","68,01155137",841,N
426,Juanita,Gold Flakes,Yellow And Blue,3D,None,Beer Helmet,Nothing,Black Waistcoat,"11,25%","6,33%","10,22%","3,71%","62,75%","2,89%","65,90%","1,46%","0,00000000469",2941,"77,87",6,"65,63","71,75",837,"1,46","60,50","68,00164413",842,N
2,Lou,Deep Green,Blue And Orange,Heart Sunglasses,None,Visor Cap,Nothing,Rainbow Pin Suit & Tie,"12,05%","6,43%","22,00%","4,42%","62,75%","3,57%","65,90%","1,01%","0,0000000112",2471,"65,42",6,"65,63","65,53",1305,"1,01","72,93","67,99673132",843,N
336,Ham,Matrix,Orange And Blue,None,None,Gold Halo,Lollipop,Suit & Bow Tie,"9,74%","4,21%","21,66%","64,95%","62,75%","2,33%","5,03%","1,38%","0,00000000584",2853,"75,54",6,"65,63","70,59",926,"1,38","62,71","67,96154698",844,N
3476,Gordo,Sprayed Wall,Green And Orange,Pilot Sunglasses,Golden Eyebrow Piercing,None,Nothing,ArtsyApes Brains Longsleeve,"10,19%","5,30%","13,66%","5,43%","2,62%","52,08%","65,90%","1,43%","0,00000000515",2904,"76,89",6,"65,63","71,26",876,"1,43","61,33","67,95130631",845,N
1776,Jeff,Space Silver,Purple And Green,Orange Shades,Golden Earring,Reverse Hat,Nothing,Thorchain Hoodie & Jacket,"11,25%","6,43%","7,60%","6,35%","3,79%","3,76%","65,90%","2,65%","0,000000000868",3351,"88,72",7,"87,45","88,09",382,"2,65","27,64","67,93618825",846,N
3477,Robin,Deep Green,Orange And Blue,None,Golden Nose Ring,Devil Horns,Nothing,Chef's Jacket,"11,04%","6,43%","21,66%","64,95%","5,56%","3,10%","65,90%","1,01%","0,0000000114",2464,"65,24",6,"65,63","65,44",1312,"1,01","72,93","67,9349539",847,N
932,Lou,Red & Green Aura,Yellow And Blue,None,Golden Earring,Beer Helmet,Pizza,ArtsyApes Tee,"12,05%","6,80%","10,22%","64,95%","3,79%","2,89%","5,00%","2,67%","0,000000000795",3371,"89,25",7,"87,45","88,35",365,"2,67","27,08","67,92856184",848,N
1408,Bruno,Sunny Beach,Orange And Blue,None,Golden Earring,None,Nothing,Royal Outfit,"10,83%","3,18%","21,66%","64,95%","3,79%","52,08%","65,90%","0,45%","0,0000000283",1945,"51,50",5,"63,89","57,69",1905,"0,45","88,40","67,92785959",849,N
644,Ham,Red & Green Aura,Brown And Orange,None,None,Jägermeister Antlers,Ganja,Black Waistcoat,"9,74%","6,80%","10,38%","64,95%","62,75%","2,07%","5,75%","1,46%","0,00000000484",2930,"77,57",6,"65,63","71,60",849,"1,46","60,50","67,90456532",850,N
598,Turned,Space Silver,Loose,None,Jägermeister Chain,Red Cap,Nothing,Ripped Black Shirt,"2,20%","6,43%","2,09%","64,95%","2,99%","2,70%","65,90%","2,25%","0,00000000023",3587,"94,97",6,"65,63","80,30",583,"2,09","43,10","67,9026179",851,N
2756,Jeff,Bright Sky,Purple And Green,Clear Lenses Round,None,ArtsyApes Cap,Lollipop,ArtsyApes Tee,"11,25%","7,18%","7,60%","3,87%","62,75%","4,05%","5,03%","2,67%","0,000000000811",3368,"89,17",7,"87,45","88,31",366,"2,67","27,08","67,9020858",852,N
2517,Bruno,Brick Wall,Purple And Green,Heart Sunglasses,None,ArtsyApes Cap,Cigarette,_APES_ Sweater,"10,83%","6,09%","7,60%","4,42%","62,75%","4,05%","2,78%","3,02%","0,000000000473",3481,"92,16",7,"87,45","89,81",271,"2,78","24,05","67,88661661",853,N
2332,Turned,Deep Green,Loose,None,Golden Eyebrow Piercing,None,Bubblegum,White Shirt & Blue Tie,"2,20%","6,43%","2,09%","64,95%","2,62%","52,08%","3,89%","2,28%","0,000000000232",3585,"94,92",6,"65,63","80,28",585,"2,09","43,10","67,88496721",854,N
1524,Robin,Bright Sky,Green And Orange,Orange Shades,Golden Nose Ring,Visor Cap,Nothing,Blue Camo Shirt,"11,04%","7,18%","13,66%","6,35%","5,56%","3,57%","65,90%","2,44%","0,00000000219",3126,"82,76",7,"87,45","85,11",540,"2,44","33,44","67,88388531",855,N
265,Gordo,Abstract White_Blue,Orange And Blue,None,None,Luart Helmet,Nothing,None,"10,19%","5,19%","21,66%","64,95%","62,75%","0,95%","65,90%","2,52%","0,0000000738",1629,"43,13",4,"85,84","64,48",1387,"0,95","74,59","67,85192896",856,N
933,Turned,Space Silver,Loose,None,None,Jägermeister Antlers,Lollipop,Green Puffer Jacket,"2,20%","6,43%","2,09%","64,95%","62,75%","2,07%","5,03%","2,25%","0,000000000282",3559,"94,23",6,"65,63","79,93",590,"2,07","43,66","67,83964153",857,N
780,Albert,Abstract White_Blue,Green And Orange,Green Cybernetic Visor,None,Jägermeister Cap,Nothing,_APES_ Sweater,"10,83%","5,19%","13,66%","1,62%","62,75%","1,72%","65,90%","3,02%","0,00000000266",3089,"81,78",6,"65,63","73,71",702,"1,62","56,09","67,83472873",858,N
2480,Ham,Ones & Zeros,Brown And Orange,None,Golden Nose Ring,Propeller Hat,Nothing,Clown Suit,"9,74%","5,30%","10,38%","64,95%","5,56%","4,02%","65,90%","1,32%","0,00000000679",2776,"73,50",6,"65,63","69,57",1000,"1,32","64,37","67,83439531",859,N
1187,Juanita,Gold Flakes,Green And Orange,None,Cross Necklace,Red Cap,Cigar,"3,3 Tee","11,25%","6,33%","13,66%","64,95%","3,18%","2,70%","4,00%","3,39%","0,000000000734",3391,"89,78",7,"87,45","88,62",349,"2,7","26,26","67,82886877",860,N
733,Gordo,Brick Wall,Blue And Orange,None,Bitcoin Chain,Propeller Hat,Nothing,Dappimg Tee,"10,19%","6,09%","22,00%","64,95%","2,70%","4,02%","65,90%","1,24%","0,0000000079",2690,"71,22",6,"65,63","68,43",1086,"1,24","66,58","67,81194885",861,N
2043,Lou,Abstract Red_Blue,Blue And Orange,None,Bitcoin Chain,Red Cap,Cigar,_APES_ Sweater,"12,05%","4,87%","22,00%","64,95%","2,70%","2,70%","4,00%","3,02%","0,000000000738",3389,"89,73",7,"87,45","88,59",351,"2,7","26,26","67,81121808",862,N
2146,Whitney,Red & Green Aura,Orange And Blue,Clear Lenses Round,None,Orange Beanie,Nothing,Guy Fieri Flame Shirt,"10,46%","6,80%","21,66%","3,87%","62,75%","3,87%","65,90%","1,09%","0,0000000103",2533,"67,06",6,"65,63","66,35",1243,"1,09","70,72","67,80736946",863,N
686,Ham,Sprayed Wall,Green And Orange,None,Silver Necklace,Gold Halo,Nothing,Black Waistcoat,"9,74%","5,30%","13,66%","64,95%","4,82%","2,33%","65,90%","1,46%","0,00000000493",2918,"77,26",6,"65,63","71,45",861,"1,46","60,50","67,79866116",864,N
3238,Lou,Red & Green Aura,Green And Orange,Orange Shades,Silver Necklace,None,Nothing,Anarchy Jacket,"12,05%","6,80%","13,66%","6,35%","4,82%","52,08%","65,90%","1,01%","0,0000000118",2445,"64,73",6,"65,63","65,18",1329,"1,01","72,93","67,76727232",865,N
1424,Gordo,Matrix,Green And Orange,Orange Shades,None,Beer Helmet,Nothing,Suit & Bow Tie,"10,19%","4,21%","13,66%","6,35%","62,75%","2,89%","65,90%","1,38%","0,00000000612",2830,"74,93",6,"65,63","70,28",948,"1,38","62,71","67,75856401",866,N
1838,Bruno,Gold Flakes,Green And Orange,None,Golden Nose Ring,Visor Cap,Nothing,Go ***** Yourself Tee,"10,83%","6,33%","13,66%","64,95%","5,56%","3,57%","65,90%","1,16%","0,00000000928",2600,"68,84",6,"65,63","67,24",1175,"1,16","68,79","67,75420101",867,N
2195,Jeff,Rainbow,Grey And Yellow,Pilot Sunglasses,None,Propeller Hat,Nothing,Rainbow Pin Suit & Tie,"11,25%","9,56%","12,13%","5,43%","62,75%","4,02%","65,90%","1,01%","0,0000000119",2443,"64,68",6,"65,63","65,16",1332,"1,01","72,93","67,74962162",868,N
3226,Jeff,Gold Flakes,Orange And Blue,None,Golden Nose Ring,None,Lollipop,Hazmat Suit,"11,25%","6,33%","21,66%","64,95%","5,56%","52,08%","5,03%","0,93%","0,0000000135",2358,"62,43",6,"65,63","64,03",1423,"0,93","75,14","67,73600051",869,N
298,Robin,Mountains,Grey And Yellow,Green Cybernetic Visor,Cross Necklace,None,Nothing,Dopey Hoodie,"11,04%","5,61%","12,13%","1,62%","3,18%","52,08%","65,90%","2,17%","0,00000000287",3076,"81,44",6,"65,63","73,54",712,"1,62","56,09","67,71999922",870,N
145,Albert,Sprayed Wall,Orange And Blue,None,Golden Earring,None,Lollipop,Go ***** Yourself Tee,"10,83%","5,30%","21,66%","64,95%","3,79%","52,08%","5,03%","1,16%","0,00000000932",2596,"68,73",6,"65,63","67,18",1179,"1,16","68,79","67,71889962",871,N
2832,Bruno,Mountains,Green And Orange,None,None,Santa Hat,Nothing,Hazmat Suit,"10,83%","5,61%","13,66%","64,95%","62,75%","0,77%","65,90%","0,93%","0,0000000159",2252,"59,62",5,"63,89","61,76",1598,"0,77","79,56","67,6911076",872,N
352,Whitney,Red & Green Aura,Purple And Green,None,None,Red Cap,Pizza,Catchphrase Ripped Tee,"10,46%","6,80%","7,60%","64,95%","62,75%","2,70%","5,00%","1,51%","0,00000000449",2957,"78,29",6,"65,63","71,96",821,"1,51","59,12","67,68251634",873,N
304,Whitney,Deep Green,Blue And Orange,Orange Shades,None,Devil Horns,Nothing,Rainbow Pin Suit & Tie,"10,46%","6,43%","22,00%","6,35%","62,75%","3,10%","65,90%","1,01%","0,0000000121",2431,"64,36",6,"65,63","65,00",1346,"1,01","72,93","67,64371747",874,N
2705,Turned,Deep Green,Loose,None,Jägermeister Chain,None,Cigar,Jägermeister Urban Hoodie,"2,20%","6,43%","2,09%","64,95%","2,99%","52,08%","4,00%","2,41%","0,000000000288",3555,"94,12",6,"65,63","79,88",591,"2,09","43,10","67,62020681",875,N
3763,Juanita,Brick Wall,Blue And Orange,None,Rose Necklace,Chef's Hat,Nothing,"3,3 Tee","11,25%","6,09%","22,00%","64,95%","1,11%","4,26%","65,90%","3,39%","0,0000000104",2532,"67,04",6,"65,63","66,34",1244,"1,11","70,17","67,61441079",876,N
1935,Robin,Sunny Beach,Orange And Blue,None,Golden Nose Ring,Clown Wig,Nothing,Suit & Bow Tie,"11,04%","3,18%","21,66%","64,95%","5,56%","2,57%","65,90%","1,38%","0,00000000639",2813,"74,48",6,"65,63","70,06",964,"1,38","62,71","67,60853312",877,N
3701,Bruno,Abstract White_Blue,Grey And Yellow,None,Golden Earring,Red Cap,Pizza,Luna Tee,"10,83%","5,19%","12,13%","64,95%","3,79%","2,70%","5,00%","3,65%","0,000000000827",3363,"89,04",7,"87,45","88,24",371,"2,7","26,26","67,58175907",878,N
3215,Turned,Ones & Zeros,Loose,None,Jägermeister Chain,None,Ganja,Stebo Sweater,"2,20%","5,30%","2,09%","64,95%","2,99%","52,08%","5,75%","2,17%","0,000000000307",3550,"93,99",6,"65,63","79,81",592,"2,09","43,10","67,57608008",879,N
962,Robin,Rainbow,Blue And Orange,3D,None,None,Party Whistle,Hazmat Suit,"11,04%","9,56%","22,00%","3,71%","62,75%","52,08%","5,35%","0,93%","0,0000000139",2336,"61,85",6,"65,63","63,74",1445,"0,93","75,14","67,54184289",880,N
659,Albert,Matrix,Green And Orange,None,Bitcoin Chain,None,Respirator,Jägermeister Hoodie,"10,83%","4,21%","13,66%","64,95%","2,70%","52,08%","2,28%","1,69%","0,00000000219",3125,"82,74",6,"65,63","74,19",683,"1,69","54,15","67,50797453",881,N
1299,Albert,Gold Flakes,Blue And Orange,None,None,Reverse Hat,Party Whistle,Chef's Jacket,"10,83%","6,33%","22,00%","64,95%","62,75%","3,76%","5,35%","1,01%","0,0000000124",2414,"63,91",6,"65,63","64,77",1364,"1,01","72,93","67,49368658",882,N
1608,Juanita,Bright Sky,Brown And Orange,None,Golden Earring,ArtsyApes Cap,Lollipop,Thorchain Hoodie & Jacket,"11,25%","7,18%","10,38%","64,95%","3,79%","4,05%","5,03%","2,65%","0,00000000111",3289,"87,08",7,"87,45","87,27",433,"2,65","27,64","67,38901677",883,N
990,Gordo,Brick Wall,Blue And Orange,None,Golden Nose Ring,Visor Cap,Lollipop,Ape College Jacket,"10,19%","6,09%","22,00%","64,95%","5,56%","3,57%","5,03%","2,49%","0,00000000221",3121,"82,63",7,"87,45","85,04",544,"2,49","32,06","67,37942524",884,N
3353,Bruno,Brick Wall,Grey And Yellow,Orange Shades,Septum Piercing,None,Nothing,White Plain Tee,"10,83%","6,09%","12,13%","6,35%","3,47%","52,08%","65,90%","1,30%","0,00000000785",2701,"71,51",6,"65,63","68,57",1074,"1,3","64,92","67,35662766",885,N
278,Lou,Deep Green,Blue And Orange,Pilot Sunglasses,None,Orange Beanie,Nothing,Versace Tee,"12,05%","6,43%","22,00%","5,43%","62,75%","3,87%","65,90%","0,95%","0,0000000141",2333,"61,77",6,"65,63","63,70",1447,"0,95","74,59","67,33123352",886,N
353,Robin,Deep Green,Purple And Green,None,Silver Necklace,Captain's Hat,Cigarette,"3,3 Tee","11,04%","6,43%","7,60%","64,95%","4,82%","4,18%","2,78%","3,39%","0,000000000666",3417,"90,47",7,"87,45","88,96",326,"2,78","24,05","67,32179444",887,N
2492,Lou,Deep Blue,Blue And Orange,None,None,Gold Crown,Cigar,Blue Jacket,"12,05%","7,73%","22,00%","64,95%","62,75%","1,11%","4,00%","2,91%","0,0000000108",2497,"66,11",6,"65,63","65,87",1279,"1,11","70,17","67,30552366",888,N
1494,Jeff,Red & Green Aura,Orange And Blue,3D,Golden Earring,None,Nothing,Rich Old White Male Tee,"11,25%","6,80%","21,66%","3,71%","3,79%","52,08%","65,90%","1,19%","0,00000000951",2578,"68,26",6,"65,63","66,94",1198,"1,19","67,96","67,28384339",889,N
3400,Robin,Space Silver,Blue And Orange,Heart Sunglasses,Cross Necklace,None,Bubblegum,Thorchain Hoodie & Jacket,"11,04%","6,43%","22,00%","4,42%","3,18%","52,08%","3,89%","2,65%","0,00000000118",3277,"86,76",7,"87,45","87,11",443,"2,65","27,64","67,28311261",890,N
1511,Lou,Red & Green Aura,Grey And Yellow,None,Septum Piercing,Red Cap,Nothing,Black Waistcoat,"12,05%","6,80%","12,13%","64,95%","3,47%","2,70%","65,90%","1,46%","0,0000000058",2859,"75,69",6,"65,63","70,66",920,"1,46","60,50","67,27796572",891,N
2193,Lou,Ones & Zeros,Blue And Orange,Pilot Sunglasses,Silver Necklace,None,Pizza,Ape College Jacket,"12,05%","5,30%","22,00%","5,43%","4,82%","52,08%","5,00%","2,49%","0,00000000238",3108,"82,29",7,"87,45","84,87",551,"2,49","32,06","67,26469574",892,N
1810,Juanita,Gold Flakes,Green And Orange,Deal With It,None,Beer Helmet,Nothing,Clown Suit,"11,25%","6,33%","13,66%","5,03%","62,75%","2,89%","65,90%","1,32%","0,00000000773",2708,"71,70",6,"65,63","68,67",1068,"1,32","64,37","67,23427175",893,N
890,Robin,Bright Sky,Grey And Yellow,Flower Power,None,Captain's Hat,Nothing,Clown Suit,"11,04%","7,18%","12,13%","3,52%","62,75%","4,18%","65,90%","1,32%","0,00000000775",2707,"71,67",6,"65,63","68,65",1069,"1,32","64,37","67,2254464",894,N
2987,Bruno,Deep Blue,Yellow And Blue,None,#WAGMI Chain,None,Nothing,Jägermeister Urban Hoodie,"10,83%","7,73%","10,22%","64,95%","0,56%","52,08%","65,90%","2,41%","0,0000000255",1979,"52,40",5,"63,89","58,14",1873,"0,56","85,36","67,21518803",895,N
1948,Whitney,Abstract White_Blue,Blue And Orange,None,Double Ear Piercing,Visor Cap,Nothing,White Plain Tee,"10,46%","5,19%","22,00%","64,95%","3,36%","3,57%","65,90%","1,30%","0,00000000797",2683,"71,04",6,"65,63","68,33",1092,"1,3","64,92","67,19777142",896,N
3410,Robin,Rainbow,Blue And Orange,Orange Shades,Golden Eyebrow Piercing,None,Lollipop,Ape College Jacket,"11,04%","9,56%","22,00%","6,35%","2,62%","52,08%","5,03%","2,49%","0,00000000252",3099,"82,05",7,"87,45","84,75",555,"2,49","32,06","67,18526762",897,N
